INDEX,STEP1_PROC_TIME,STEP2_PROC_TIME,STEP3_PROC_TIME,STEP_1_DIS,STEP_2_DIS,STEP_3_DIS,STEP_1_STD,STEP_2_STD,STEP_3_STD,  VAC_VAL,END_POINT,TOTAL_PROCTIME,
-2130171903,192,212,157,44.6524925,87.88291,63.1085625,0.074400805,0.221564323,0.220567569,0.5063438,403,562,28.1
-2130171901,192,212,157,46.7588768,87.1401749,62.36789,0.07931751,0.217502475,0.212187141,0.5124039,403,562,28.1
-2130171899,191,211,157,45.756443,90.45224,61.44739,0.08061781,0.2415875,0.208545864,0.5027078,401,560,28
-2130171897,191,211,156,43.56121,87.2978745,62.0329361,0.07206143,0.224398643,0.214406043,0.5124039,401,559,27.95
-2130171895,192,212,156,44.8196831,89.7702,57.72702,0.0744823,0.2389605,0.1881308,0.5002838,403,561,28.05
-2130171893,193,210,157,48.333744,83.88356,59.79011,0.08418435,0.21038039,0.201063842,0.5002838,402,561,28.05
-2130171891,190,209,157,48.34836,82.83332,64.96827,0.08558394,0.201428339,0.2284971,0.5002838,398,557,27.85
-2130171889,192,207,157,45.52332,82.9995346,64.16237,0.078685254,0.214469224,0.224106967,0.5087679,398,557,27.85
-2130171887,190,208,157,43.951,82.7546539,64.18914,0.07347201,0.209089309,0.222474366,0.5124039,397,556,27.8
-2130171885,192,205,156,46.50748,81.0568848,60.27646,0.08616322,0.221023038,0.205475286,0.5184639,396,554,27.7
-2130171883,193,206,157,47.208622,79.30055,63.4356575,0.0839686,0.1985534,0.219809815,0.5124039,398,557,27.85
-2130171881,193,206,156,46.39755,80.00499,61.28887,0.08260596,0.211931184,0.207784325,0.5124039,398,556,27.8
-2130171879,192,207,156,46.9350243,80.20883,61.00588,0.08280709,0.2024746,0.202185348,0.5087679,398,556,27.8
-2130171877,194,208,156,53.8292847,79.69779,62.6754837,0.102530964,0.200045675,0.220167771,0.5027078,401,559,27.95
-2130171875,192,207,156,47.10046,82.06251,60.6632957,0.08364236,0.21345745,0.201927692,0.5124039,398,556,27.8
-2130171874,192,207,156,48.1622,80.50947,63.085144,0.0847339,0.201108009,0.2204261,0.5063438,398,556,27.8
-2130171871,189,222,156,47.2124672,107.603317,56.0045433,0.08262338,0.301788837,0.1820567,0.5124039,410,568,28.4
-2130171869,190,213,156,42.09765,90.5720749,62.2588959,0.064989135,0.233751461,0.215317354,0.5124039,402,560,28
-2130171867,194,213,156,45.94795,90.75537,58.114666,0.07847353,0.2427296,0.193900675,0.5124039,406,564,28.2
-2130171865,194,212,155,46.35477,90.82044,58.152,0.08199973,0.244753525,0.193940237,0.5124039,405,562,28.1
-2130171863,191,213,155,43.96043,90.58942,59.69085,0.07133049,0.239413932,0.195779979,0.5148279,403,560,28
-2130171861,193,210,157,44.1080132,86.56793,62.3738632,0.07409011,0.224645764,0.213655785,0.5148279,402,561,28.05
-2130171859,192,213,156,44.9934921,90.7011948,58.8285,0.07564313,0.23816514,0.1941303,0.5124039,404,562,28.1
-2130171857,193,213,155,45.43421,90.56856,58.1363449,0.07702975,0.23749356,0.185149029,0.5124039,405,562,28.1
-2130171855,193,212,156,46.56589,86.72837,61.6060638,0.0795393,0.223042354,0.207914457,0.5124039,404,562,28.1
-2130171853,189,213,156,42.97835,91.77051,58.79382,0.07089762,0.241127938,0.192777261,0.5184639,401,559,27.95
-2130171851,192,214,157,47.81819,88.96,61.76062,0.08066312,0.220409617,0.211114436,0.5027078,405,564,28.2
-2130171849,191,212,156,44.0880432,88.95237,61.10185,0.07298118,0.230339319,0.201669678,0.5124039,402,560,28
-2130171847,193,205,157,46.64631,81.4884338,65.22427,0.08498542,0.216105655,0.2334443,0.5124039,397,556,27.8
-2130171845,194,211,156,44.20455,89.21231,59.16427,0.07797375,0.240322351,0.1911648,0.5124039,404,562,28.1
-2130171843,193,209,157,49.8038445,82.48865,62.3860435,0.08949195,0.206381351,0.214939833,0.5063438,401,560,28
-2130171841,193,211,157,46.1612778,85.10645,62.0005875,0.078565,0.219565019,0.216152027,0.5027078,403,562,28.1
-2130171839,191,209,157,43.38177,86.051445,63.463707,0.07253902,0.224312961,0.21933648,0.5124039,399,558,27.9
-2130171837,194,207,156,49.13042,80.04406,61.8838539,0.08921218,0.202179015,0.2107943,0.5124039,400,558,27.9
-2130171835,190,207,156,44.66437,85.4561539,63.87869,0.07902478,0.223149464,0.223596022,0.5124039,396,554,27.7
-2130171833,191,205,156,47.2360344,81.91856,62.8713264,0.086618684,0.221286088,0.216590926,0.5124039,395,553,27.65
-2130171831,192,204,156,45.97227,80.28456,64.6075,0.08531668,0.212871581,0.227277741,0.5184639,395,553,27.65
-2130171829,194,206,156,46.9173164,81.1663055,63.249958,0.084502056,0.220171541,0.2178425,0.5087679,399,557,27.85
-2130171827,191,206,157,46.3165245,82.51051,65.74984,0.08243033,0.217270449,0.2327184,0.5124039,396,555,27.75
-2130171825,194,205,156,46.84011,80.4088,63.4579277,0.0878133,0.2205702,0.2167187,0.5184639,398,556,27.8
