"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"1","401P58108P00","95.T4014.A0B00CZ","T05TM81509-142CQI302","0","17.86 ","5.40 ",75.5,16,"0.2978 ","0.2731 ","NULL","NULL"
"2","T70P57C1QX00","95.T7020.Z0C11BZ","T05TM7C729-052D6HH01","0","11.80 ","29.30 ",130.5,31,"0.3112 ","0.2777 ","0.3052 ","0.2808 "
"3","T30P5811A000","95.T3030.Z0D019Z","T05TM81333-162CMJV01","0","14.10 ","63.50 ",53.83,17,"0.2824 ","0.2718 ","0.2665 ","0.2295 "
"4","380P58150H00","95.S3806.W0A0B0Z","T05TM82608-0W3BEAF01","2","27.00 ","0.00 ",46.17,19,"0.2874 ","0.2815 ","0.2754 ","0.2422 "
"5","380P5810FC00","95.S3806.W0A0C8Z","T05TM7C621-0W4C7H301","0","33.50 ","0.00 ",41.5,11,"0.2911 ","0.2914 ","0.2828 ","0.2601 "
"6","T30P57C2F100","95.T3030.Z0D013Z","T05TM7C322-163CMJV02","0","15.50 ","54.00 ",58.33,18,"0.2945 ","0.2874 ","NULL","NULL"
"7","T70P5811M100","95.T7020.Z0C114Z","T05TM81F01-016D4IA01","2","9.60 ","10.50 ",74.5,35,"0.3034 ","0.2749 ","0.2959 ","0.2733 "
"8","T70P5811X100","95.T7020.Z0C11BZ","T05TM81716-053D6GX01","0","12.00 ","22.90 ",140,18,"0.3117 ","0.2805 ","0.3045 ","0.2782 "
"9","T70P5811XD00","95.T7020.Z0C11BZ","T05TM81716-053D6GX01","0","12.00 ","22.90 ",129.33,19,"0.3103 ","0.2781 ","0.3058 ","0.2814 "
"10","380P58113200","95.S3806.W0A0C8Z","T05TM7C626-0W3C7JC02","1","32.00 ","0.00 ",31,8,"0.2884 ","0.2871 ","0.2850 ","0.2607 "
"11","T70P5812PF00","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",109.33,50,"0.3124 ","0.2816 ","0.3061 ","0.2835 "
"12","380P5815NK00","95.S3806.W0A0C8Z","T05TM81620-0W3C7JC01","0","31.85 ","0.00 ",28.17,9,"0.2933 ","0.2928 ","0.2869 ","0.2632 "
"13","T70P5821FD00","95.T7020.Z0C11BZ","T05TM82715-052D6GX01","0","15.00 ","32.00 ",133,44,"0.3236 ","0.3010 ","0.3151 ","0.2973 "
"14","S06P5820MF00","95.S3806.W0A0D6Z","T05TM82606-0W2C7JC02","0","23.05 ","0.00 ",44.67,30,"0.2910 ","0.2926 ","0.2855 ","0.2623 "
"15","T70P58134600","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",86.17,23,"0.3113 ","0.2798 ","0.3051 ","0.2812 "
"16","S06P5821V700","95.S3006.W0A0B6Z","T05TM82508-0W2C7JC01","0","22.75 ","0.00 ",45.17,11,"0.2775 ","0.2729 ","0.2866 ","0.2663 "
"17","401P58200S00","95.T4014.A0B00CZ","T05TM82514-143CQC501","0","17.90 ","5.50 ",79.17,34,"0.2984 ","0.2748 ","0.2827 ","0.2511 "
"18","T30P5830PA03","95.T3030.A0C100Z","T05TM83314-163BRLW01","1","60.00 ","0.70 ",65.83,9,"0.2728 ","0.2461 ","0.2544 ","0.2367 "
"19","T30P58304G00","95.T3030.Z0D01AZ","T05TM83306-162CUJH01","2","16.00 ","75.00 ",51.33,13,"0.2959 ","0.2921 ","0.2799 ","0.2506 "
"20","T30P5821FK00","95.T3030.A0D00FZ","T05TM82320-163BTII01","2","56.50 ","0.31 ",52.67,9,"0.2999 ","0.2670 ","0.2787 ","0.2485 "
"21","T70P58221T00","95.T7020.Z0C11CZ","T05TM82721-015D6GX01","0","16.55 ","14.90 ",116.67,36,"0.3304 ","0.3182 ","0.3215 ","0.3095 "
"22","401P58201900","95.T4014.A0B00CZ","T05TM82514-143CQC501","0","17.90 ","5.50 ",72.83,23,"0.2958 ","0.2727 ","0.2811 ","0.2490 "
"23","S06P5821XK00","95.S3006.W0A0B6Z","T05TM82508-0W2C7JC01","0","22.75 ","0.00 ",32.5,17,"0.2787 ","0.2756 ","0.2859 ","0.2646 "
"24","T30P5821RU02","95.T3030.Z0D01QZ","T05TM82329-163CZHH01","1","13.65 ","55.00 ",55,12,"0.2865 ","0.2721 ","NULL","NULL"
"25","T30P58301400","95.T3030.A0D10BZ","T05TM82326-164CZGX01","0","42.08 ","0.34 ",89.83,26,"0.2719 ","0.2405 ","NULL","NULL"
"26","T70P5822TT00","95.T7020.Z0C11BZ","T05TM82723-053D6GX01","0","12.85 ","24.30 ",113.83,60,"0.3142 ","0.2862 ","0.3099 ","0.2874 "
"27","T30P58301N00","95.T3030.Z0D01KZ","T05TM82G02-163DAHH01","0","14.30 ","68.00 ",60.33,20,"0.2902 ","0.2788 ","0.2782 ","0.2481 "
"28","T30P5830F500","95.T3030.W0D003Z","T05TM83311-162CZHH01","0","11.25 ","0.00 ",52.67,6,"0.2686 ","0.2534 ","0.2609 ","0.2274 "
"29","S06P5830VA00","95.S3006.W0A0B8Z","T05TM83013-0W3C7JC01","0","17.00 ","0.00 ",41.5,12,"0.2849 ","0.2737 ","0.2886 ","0.2574 "
"30","380P58401N00","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG01","0","31.10 ","0.00 ",41.33,22,"0.2979 ","0.3025 ","0.2870 ","0.2650 "
"31","T30P58320900","95.T3030.A0D00FZ","T05TM83317-162BTK802","0","57.60 ","0.30 ",77.17,27,"0.3038 ","0.2743 ","0.2803 ","0.2519 "
"32","380P5840DD00","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","0","31.00 ","0.00 ",44.5,17,"0.2985 ","0.3017 ","0.2858 ","0.2615 "
"33","380P58428P00","95.S3806.W0A0E0Z","T05TM84624-042B1DA01","0","32.65 ","0.00 ",56.67,24,"0.2977 ","0.2969 ","0.2876 ","0.2598 "
"34","380P58428P00","95.S3806.W0A0E0Z","T05TM84624-042B1DA01","0","33.25 ","0.00 ",56.67,24,"0.2977 ","0.2969 ","0.2876 ","0.2598 "
"35","380P5843TE00","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG02","0","31.50 ","0.00 ",33,18,"0.2937 ","0.2937 ","0.2850 ","0.2616 "
"36","380P5842BK00","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","0","31.00 ","0.00 ",38,26,"0.2958 ","0.2965 ","0.2864 ","0.2617 "
"37","S04P58419W00","95.S3004.W0A01DZ","T05TM84Q02-0W2B1GB03","0","16.90 ","0.00 ",23.83,8,"0.2912 ","0.2552 ","0.2853 ","0.2612 "
"38","T70P58410X00","95.T7020.A0C11AZ","T05TM84712-013CZGX01","0","51.50 ","0.32 ",104,13,"0.3039 ","0.2647 ","0.3045 ","0.2881 "
"39","T40P5840TB00","95.T4012.Z0B002Z","T05TM84511-052CQC501","0","37.30 ","11.50 ",86.17,19,"0.3225 ","0.3151 ","0.2961 ","0.2748 "
"40","S06P5840NW00","95.S3806.W0A0D6Z","T05TM83607-0W2C7J003","0","21.75 ","0.00 ",53.5,17,"0.2963 ","0.2989 ","0.2861 ","0.2622 "
"41","S06P5840UH00","95.S3806.W0A0EBZ","T05TM84603-053B1LG02","0","17.18 ","0.00 ",25,10,"0.3101 ","0.3157 ","0.2924 ","0.2673 "
"42","T30P58401A00","95.T3030.A0D10AZ","T05TM84302-162CZHH01","0","71.18 ","0.32 ",56.83,13,"0.3240 ","0.3231 ","NULL","NULL"
"43","380P5840PL00","95.S3806.W0A0C8Z","T05TM84610-0W4C7H301","0","30.97 ","0.00 ",34.17,19,"0.2936 ","0.2960 ","0.2845 ","0.2631 "
"44","T30P5840ZL00","95.T3030.Z0D01AZ","T05TM84323-163CUJM01","0","15.00 ","53.00 ",50,5,"0.2925 ","0.2845 ","0.2785 ","0.2468 "
"45","S04P5850X600","95.S3004.W0A01DZ","T05TM85120-0W3B1GB01","0","16.30 ","0.00 ",32.33,9,"0.2903 ","0.2550 ","0.2843 ","0.2614 "
"46","S06P58506T00","95.S3806.W0A0E9Z","T05TM85605-052C7JC01","0","19.40 ","0.00 ",44.33,18,"0.2842 ","0.2779 ","0.2759 ","0.2432 "
"47","T40P5850H400","95.T4014.A0B100Z","T05TM85504-146D0GX01","0","24.80 ","5.10 ",80.17,19,"0.3328 ","0.3238 ","0.3263 ","0.3196 "
"48","T30P5850TC00","95.T3030.Z0D01RZ","T05TM85327-162CZGX01","0","14.40 ","120.00 ",60.33,7,"0.2900 ","0.2845 ","0.2792 ","0.2517 "
"49","S08P58504H00","95.S2808.W0A104Z","T05TM85104-014A5AD02","0","16.90 ","0.00 ",50.33,5,"0.3021 ","0.2853 ","0.2903 ","0.2764 "
"50","380P5850MY00","95.S3806.W0A0AZZ","T05TM85613-0W2B1JC01","0","28.60 ","0.00 ",35.83,22,"0.2942 ","0.2923 ","0.2829 ","0.2545 "
"51","T30P5850X700","95.T3030.Z0D11FZ","T05TM85320-164CZHH01","0","15.70 ","35.00 ",78.67,28,"0.3060 ","0.2946 ","0.2942 ","0.2667 "
"52","S06P5850J200","95.S3806.W0A0EBZ","T05TM85602-053B1LG02","0","20.05 ","0.00 ",53.33,35,"0.3107 ","0.3108 ","0.2954 ","0.2719 "
"53","C40P58507M01","95.T4014.A0C10BZ","T05TM85518-134CLJ601","0","84.70 ","0.31 ",64.33,16,"0.2829 ","0.2043 ","0.2731 ","0.2523 "
"54","C40P5850LM00","95.T4014.A0C10BZ","T05TM85526-133CLK202","2","67.00 ","0.48 ",73.67,32,"0.2834 ","0.2232 ","0.2764 ","0.2631 "
"55","T40P5860GZ00","95.T4014.W0B102Z","T05TM85005-022BJEL01","0","9.03 ","0.00 ",108.33,9,"0.2869 ","0.2682 ","0.2893 ","0.2601 "
"56","T70P58526700","95.T7020.Z0C115Z","T05TM86703-015AYGX01","0","11.10 ","15.30 ",116.67,23,"0.3019 ","0.2731 ","0.2942 ","0.2690 "
"57","380P5860GG00","95.S3806.W0A0AZZ","T05TM86606-0W3B1LG02","0","32.40 ","0.00 ",35.8,17.2,"0.2952 ","0.2973 ","0.2864 ","0.2651 "
"58","C40P58601101","95.T4014.Z0B118Z","T05TM86108-134AYH601","0","24.75 ","23.50 ",107.33,10,"0.3085 ","0.2628 ","0.2972 ","0.2761 "
"59","T70P58522R00","95.T7020.Z0C11BZ","T05TM85725-052D6HH01","0","9.90 ","45.50 ",138.17,28,"0.2946 ","0.2589 ","0.2864 ","0.2526 "
"60","T70P5851YF00","95.T7020.Z0C111Z","T05TM86701-013AYHH01","0","11.20 ","29.00 ",94.33,30,"0.2700 ","0.2622 ","0.2857 ","0.2604 "
"61","T30P5851R800","95.T3030.Z0D11JZ","T05TM85342-164DAHI01","0","12.88 ","95.00 ",83.33,15,"0.2814 ","0.2741 ","0.2724 ","0.2463 "
"62","T30P5861ZU00","95.T3030.Z0D01MZ","T05TM86335-163CZHH01","0","14.50 ","72.00 ",46.5,3,"0.2950 ","0.2903 ","0.2811 ","0.2538 "
"63","T40P5861F900","95.T4012.W0B000Z","T05TM86512-054CZC501","0","10.20 ","0.00 ",81.17,9,"0.3027 ","0.2877 ","0.2885 ","0.2672 "
"64","T40P58618500","95.T4014.A0B100Z","T05TM86111-126AYGX04","0","23.20 ","5.30 ",93.83,14,"0.3292 ","0.3237 ","0.3179 ","0.3119 "
"65","T40P5810UU00","95.T4012.A0B000Z","T05TM81518-053CQH601","0","83.30 ","0.28 ",68.17,11,"0.3252 ","0.2962 ","0.3039 ","0.2797 "
"66","T30P5810YZ00","95.T3030.A0D00FZ","T05TM81330-162BTII01","0","58.00 ","0.32 ",54.17,13,"0.3115 ","0.2815 ","0.2792 ","0.2491 "
"67","T40P5810J100","95.T4014.W0A101Z","T05TM81517-024BJB501","0","7.80 ","0.00 ",94,27,"0.2784 ","0.2615 ","0.2831 ","0.2574 "
"68","401P58105900","95.T4014.A0B00CZ","T05TM81509-142CQI302","0","17.86 ","5.40 ",79,13,"0.2953 ","0.2679 ","NULL","NULL"
"69","380P58136N00","95.S3806.W0A0C8Z","T05TM81618-0W3C7JC02","0","33.00 ","0.00 ",36.83,11,"0.2962 ","0.2960 ","0.2891 ","0.2669 "
"70","380P58216700","95.S3806.W0A0C8Z","T05TM81620-0W3C7JC01","0","31.85 ","0.00 ",41.17,9,"0.2972 ","0.2992 ","0.2886 ","0.2657 "
"71","S06P58127E00","95.S3806.W0A0E9Z","T05TM82621-0W2C7M201","0","18.90 ","0.00 ",49.67,8,"0.2794 ","0.2740 ","0.2750 ","0.2426 "
"72","380P58164J00","95.S3806.W0A0EGZ","T05TM82604-053B1JC01","0","30.70 ","0.00 ",41.17,13,"0.2922 ","0.2911 ","NULL","NULL"
"73","T70P58210S00","95.T7030.Z0C104Z","T05TM82712-024AYGX01","0","9.35 ","39.70 ",157,9,"0.2963 ","0.2716 ","0.2808 ","0.2506 "
"74","T30P5820YR00","95.T3030.Z0D01AZ","T05TM82316-163CUJV02","0","15.50 ","53.00 ",56,14,"0.2963 ","0.2905 ","0.2820 ","0.2534 "
"75","T70P58126N00","95.T7020.Z0C118Z","T05TM81721-013AIHH01","0","12.30 ","16.00 ",123.83,12,"0.3168 ","0.2805 ","NULL","NULL"
"76","T30P5820B300","95.T3030.Z0D01FZ","T05TM82311-162CDIP01","0","21.40 ","4.80 ",87.67,19,"0.3070 ","0.2972 ","0.2809 ","0.2578 "
"77","T30P5820TK00","95.T3030.A0D10AZ","T05TM82307-163CZHH01","0","73.10 ","0.33 ",46.5,1,"0.3215 ","0.3180 ","0.3032 ","0.3007 "
"78","T30P58204800","95.T3030.Z0B100Z","T05TM82301-162BRLW01","0","15.30 ","68.00 ",61.17,20,"0.3424 ","0.4094 ","0.2871 ","0.2609 "
"79","T70P58205U02","95.T7020.Z0C11BZ","T05TM82704-054D6GX01","1","10.50 ","19.00 ",118.5,11,"0.3062 ","0.2747 ","0.3060 ","0.2829 "
"80","S04P58305400","95.S3004.W0A01DZ","T05TM83001-0W2B1LG01","0","18.10 ","0.00 ",22.83,4,"0.2909 ","0.2562 ","0.2835 ","0.2569 "
"81","T30P5830E401","95.T3030.Z0D11FZ","T05TM83G04-163CZHH01","2","16.40 ","50.00 ",51.5,9,"0.3051 ","0.2987 ","0.2923 ","0.2663 "
"82","T40P5820S800","95.T4014.W0B102Z","T05TM82519-024BJEL01","0","8.15 ","0.00 ",109.67,12,"0.2816 ","0.2683 ","0.2894 ","0.2713 "
"83","380P5822P900","95.S3806.W0A0C8Z","T05TM82615-0W4C7JC02","0","32.80 ","0.00 ",43.5,17,"0.2968 ","0.3026 ","0.2889 ","0.2701 "
"84","T40P58304800","95.T4012.A0B001Z","T05TM83501-053CQI302","0","105.00 ","0.49 ",106.67,16,"0.3258 ","0.3012 ","0.2968 ","0.2774 "
"85","401P58200V00","95.T4014.A0B00CZ","T05TM82514-143CQC501","0","17.90 ","5.50 ",96.83,37,"0.2979 ","0.2803 ","0.2810 ","0.2493 "
"86","S04P5830QD00","95.S3004.W0A01DZ","T05TM83001-0W2B1LG02","0","17.88 ","0.00 ",30,10,"0.2886 ","0.2516 ","0.2849 ","0.2607 "
"87","380P5823GJ00","95.S3806.W0A0C8Z","T05TM82632-0W1C7JC01","0","27.00 ","0.00 ",54.17,12,"0.2972 ","0.2924 ","0.2873 ","0.2566 "
"88","T30P5830GC01","95.T3030.A0D10CZ","T05TM83315-162BRIM01","1","21.00 ","5.80 ",62.17,14,"0.3298 ","0.4164 ","NULL","NULL"
"89","S04P5831X300","95.S3004.W0A01DZ","T05TM83006-0W3B1LG03","0","17.60 ","0.00 ",23,5,"0.2876 ","0.2517 ","0.2836 ","0.2606 "
"90","T70P5831LL00","95.T7020.Z0C11CZ","T05TM83714-016D6GX02","0","9.40 ","11.20 ",128.17,17,"0.2939 ","0.2610 ","0.2871 ","0.2559 "
"91","380P58343G00","95.S3806.W0A0C8Z","T05TM83606-0W4C7H303","0","32.00 ","0.00 ",36.17,11,"0.2924 ","0.2952 ","0.2844 ","0.2633 "
"92","T40P5830ZG00","95.T4014.W0B102Z","T05TM83515-023BJFU01","0","8.65 ","0.00 ",79.5,31,"0.2844 ","0.2666 ","0.2888 ","0.2632 "
"93","T40P5831FH00","95.T4012.Z0B001Z","T05TM83G06-053CAB903","0","35.10 ","8.60 ",66,12,"0.3321 ","0.3129 ","0.3092 ","0.2822 "
"94","C40P58402K00","95.T4014.W0A100Z","T05TM84007-134CAJ401","0","15.65 ","0.00 ",71.5,12,"0.2835 ","0.2318 ","0.2795 ","0.2616 "
"95","S06P5841SJ00","95.S3006.W0A0B6Z","T05TM84111-0W2C7JC01","0","21.75 ","0.00 ",47,5,"0.2774 ","0.2711 ","0.2857 ","0.2632 "
"96","S04P5842LL00","95.S3004.W0A01DZ","T05TM84F01-0W3B1LG01","0","16.70 ","0.00 ",29.17,10,"0.2867 ","0.2493 ","0.2838 ","0.2596 "
"97","S05P58400901","95.S3805.W0A001Z","T05TM84110-0W2C7JC01","1","16.50 ","0.00 ",29.83,11,"0.2959 ","0.2627 ","NULL","NULL"
"98","380P5842PC00","95.S3806.W0A0EHZ","T05TM84618-0W3B1H302","0","32.90 ","0.00 ",53,38,"0.2997 ","0.3060 ","NULL","NULL"
"99","380P5843TA00","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG02","0","31.50 ","0.00 ",40.17,14,"0.2970 ","0.3011 ","0.2834 ","0.2585 "
"100","T70P58413Y00","95.T7020.Z0C11BZ","T05TM84708-052D6GX01","0","11.84 ","18.00 ",121.17,28,"0.3152 ","0.2769 ","0.3091 ","0.2769 "
"101","S06P5840FG00","95.S3806.W0A0EBZ","T05TM84603-053B1LG02","0","17.18 ","0.00 ",34,7,"0.3108 ","0.3176 ","0.2933 ","0.2689 "
"102","T40P5841JG00","95.T4014.W0B102Z","T05TM84002-022BJFU01","0","9.30 ","0.00 ",104.83,29,"0.2861 ","0.2674 ","0.2909 ","0.2639 "
"103","C40P5840AU00","95.T4014.Z0C105Z","T05TM84520-133CLK202","0","21.20 ","43.00 ",95,34,"0.2953 ","0.2324 ","0.2912 ","0.2630 "
"104","T70P58510T00","95.T7020.Z0C11BZ","T05TM85713-051D6GX01","0","14.50 ","36.00 ",127.33,14,"0.3133 ","0.2821 ","0.3060 ","0.2791 "
"105","T40P58510T00","95.T4014.Z0B011Z","T05TM85508-144CQH601","0","36.06 ","38.00 ",83,11,"0.3174 ","0.2986 ","0.3024 ","0.2758 "
"106","T30P5841G500","95.T3030.W0D002Z","T05TM84327-162D0HH02","0","12.20 ","0.00 ",62.67,12,"0.2708 ","0.2574 ","0.2704 ","0.2463 "
"107","T70P58511P00","95.T7020.Z0C11BZ","T05TM85713-051D6GX01","0","14.50 ","36.00 ",116.5,27,"0.3114 ","0.2787 ","0.3091 ","0.2865 "
"108","T30P5850HB00","95.T3030.Z0D018Z","T05TM85321-162DAHI01","0","17.25 ","54.00 ",72.67,16,"0.2959 ","0.2911 ","0.2846 ","0.2619 "
"109","S05P58500Y00","95.S3805.W0A001Z","T05TM84110-0W2C7JC01","0","17.50 ","0.00 ",29.83,15,"0.3015 ","0.2724 ","0.2899 ","0.2554 "
"110","S06P5860LT00","95.S3806.W0A0E9Z","T05TM86610-052C7JC01","0","19.10 ","0.00 ",27.83,17,"0.2802 ","0.2724 ","NULL","NULL"
"111","S06P58603R00","95.S3806.W0A0E9Z","T05TM86610-052C7JC01","0","19.30 ","0.00 ",35,11,"0.2816 ","0.2762 ","0.2759 ","0.2454 "
"112","401P58505600","95.T4014.A0B00CZ","T05TM85513-142CQC502","3","18.10 ","6.10 ",81.83,40,"0.2919 ","0.2742 ","0.2794 ","0.2532 "
"113","C40P58601W00","95.T4014.Z0C104Z","T05TM86106-133CPIM01","0","18.93 ","40.70 ",93.83,15,"0.2852 ","0.2176 ","0.2821 ","0.2469 "
"114","S05P5850C900","95.S3805.W0A001Z","T05TM85131-0W2C7JC01","0","17.50 ","0.00 ",33.17,14,"0.3028 ","0.2736 ","0.2911 ","0.2574 "
"115","T14P58602D00","95.T3014.W0A101Z","T05TM86009-023A5AC01","0","14.30 ","0.00 ",77.83,32,"0.3052 ","0.2916 ","0.2962 ","0.2788 "
"116","T40P5860TZ00","95.T4014.W0B102Z","T05TM85006-021BJEL01","0","9.70 ","0.00 ",92.67,29,"0.2888 ","0.2686 ","0.2925 ","0.2614 "
"117","C40P58607B00","95.T4014.W0B1B4Z","T05TM86109-132CAB801","0","15.45 ","0.00 ",111.17,8,"0.2855 ","0.2215 ","0.2858 ","0.2612 "
"118","380P58604100","95.S3806.W0A0B0Z","T05TM86608-0W3BECZ01","0","32.95 ","0.00 ",40.83,18,"0.2994 ","0.3023 ","0.2888 ","0.2664 "
"119","T30P58606700","95.T3030.W0D002Z","T05TM86320-162D0HH01","0","12.75 ","0.00 ",63.5,32,"0.2795 ","0.2740 ","0.2684 ","0.2428 "
"120","T40P5860SM00","95.T4014.A0B100Z","T05TM86503-145AYEZ01","3","16.66 ","5.70 ",76.83,47,"0.2967 ","0.2861 ","0.2874 ","0.2704 "
"121","T30P58516Y00","95.T3030.Z0D014Z","T05TM85334-162CXHH01","0","17.50 ","31.00 ",81.17,27,"0.2979 ","0.2833 ","0.2888 ","0.2574 "
"122","T30P58621J02","95.T3030.W0D007Z","T05TM87312-163CZGX01","1","11.50 ","0.00 ",45.5,1,"0.2660 ","0.2524 ","NULL","NULL"
"123","T40P5851TP00","95.T4014.A0B100Z","T05TM85020-146D0GX02","0","22.50 ","5.25 ",97.83,26,"0.3238 ","0.3139 ","0.3168 ","0.3086 "
"124","T30P58600E00","95.T3030.Z0D01SZ","T05TM86305-162BTMA01","0","13.75 ","145.00 ",64.5,20,"0.2692 ","0.2487 ","0.2689 ","0.2373 "
"125","T30P5860CT00","95.T3030.Z0D018Z","T05TM86322-163DAHI01","0","15.58 ","21.00 ",71.5,15,"0.2989 ","0.2838 ","0.2869 ","0.2522 "
"126","380P5860JF00","95.S3806.W0A0B6Z","T05TM86616-043BEAF01","0","44.50 ","0.00 ",45.67,20,"0.3017 ","0.3177 ","0.2921 ","0.2812 "
"127","T40P5861RH00","95.T4014.W0B102Z","T05TM86124-023BJEL02","0","8.59 ","0.00 ",98.83,40,"0.2839 ","0.2690 ","NULL","NULL"
"128","380P58620K00","95.S3806.W0A0B0Z","T05TM86608-0W3BECZ01","0","31.65 ","0.00 ",37,16,"0.2962 ","0.2977 ","NULL","NULL"
"129","T70P5811R900","95.T7020.Z0C118Z","T05TM81717-012AIHH01","0","12.40 ","20.40 ",117,13,"0.3132 ","0.2759 ","0.3085 ","0.2762 "
"130","380P58122W00","95.S3806.W0A0C8Z","T05TM81613-0W1C7J001","0","27.00 ","0.00 ",48.17,11,"0.2975 ","0.2939 ","NULL","NULL"
"131","401P58108M00","95.T4014.A0B00CZ","T05TM81509-142CQI302","0","17.86 ","5.40 ",83.67,19,"0.2931 ","0.2708 ","NULL","NULL"
"132","T70P5811R600","95.T7020.Z0C118Z","T05TM81717-012AIHH01","0","12.50 ","20.40 ",111.67,22,"0.3151 ","0.2780 ","0.3078 ","0.2744 "
"133","380P5812XB00","95.S3806.W0A0C8Z","T05TM81618-0W3C7H301","0","31.70 ","0.00 ",30,10,"0.2961 ","0.2974 ","NULL","NULL"
"134","380P5810NL00","95.S3806.W0A0C8Z","T05TM7C626-0W3C7H301","0","32.00 ","0.00 ",34,7,"0.2916 ","0.2906 ","0.2885 ","0.2660 "
"135","S06P58117M00","NULL","T05TM81605-052C7JC01","NULL","NULL","NULL",35.67,19,"0.2819 ","0.2764 ","0.2739 ","0.2420 "
"136","401P5810EF01","95.T4014.A0B00CZ","T05TM81510-143CQI302","0","19.00 ","5.45 ",75.67,12,"0.3010 ","0.2835 ","NULL","NULL"
"137","380P58121300","95.S3806.W0A0C8Z","T05TM81613-0W1C7J001","0","27.50 ","0.00 ",63.67,15,"0.2954 ","0.2898 ","0.2890 ","0.2603 "
"138","T40P58103000","95.T4014.W0B102Z","T05TM7C551-023BJEL02","0","7.82 ","0.00 ",80,9,"0.2837 ","0.2672 ","0.2928 ","0.2714 "
"139","S06P58104S00","95.S3006.W0A0B6Z","T05TM81G01-0W3C7JC02","0","21.80 ","0.00 ",38.33,10,"0.2755 ","0.2719 ","0.2854 ","0.2662 "
"140","380P5812T300","95.S3806.W0A0C8Z","T05TM81613-0W1C7J001","0","30.00 ","0.00 ",29.67,17,"0.2968 ","0.2926 ","0.2886 ","0.2593 "
"141","T70P5821V700","95.T7020.Z0C11CZ","T05TM82711-016D6GX01","0","10.50 ","12.00 ",113.33,30,"0.3003 ","0.2729 ","0.2923 ","0.2666 "
"142","380P5822J800","95.S3806.W0A0C8Z","T05TM82614-0W3C7JC01","0","32.10 ","0.00 ",40.83,17,"0.2977 ","0.2996 ","0.2860 ","0.2601 "
"143","S06P58125V00","95.S3806.W0A0E9Z","T05TM82621-0W2C7M201","0","20.00 ","0.00 ",29.5,9,"0.2830 ","0.2786 ","0.2757 ","0.2438 "
"144","380P5821T500","95.S3806.W0A0B0Z","T05TM82613-0W3BECZ01","0","33.85 ","0.00 ",37.17,19,"0.3007 ","0.3064 ","0.2879 ","0.2657 "
"145","T30P5820PP00","95.T3030.Z0D01AZ","T05TM82316-163CUJV02","2","15.50 ","53.00 ",56.83,17,"0.2964 ","0.2924 ","0.2805 ","0.2520 "
"146","T30P5812JB00","95.T3030.Z0B100Z","NULL","0","15.30 ","68.00 ",75.33,12,"0.3449 ","0.4172 ","0.2893 ","0.2660 "
"147","T70P5820HW00","95.T7020.Z0C11BZ","T05TM82706-053D6GX01","0","12.00 ","22.90 ",139.17,18,"0.3128 ","0.2824 ","0.3053 ","0.2797 "
"148","T70P58133700","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",124.33,22,"0.3122 ","0.2831 ","0.3055 ","0.2820 "
"149","T40P58206W00","95.T4014.W0B102Z","T05TM81524-023BJB501","0","8.13 ","0.00 ",94.33,33,"0.2816 ","0.2658 ","0.2880 ","0.2616 "
"150","T30P58307X00","95.T3030.Z0D119Z","T05TM83309-164DAHH01","0","12.00 ","71.50 ",47.33,5,"0.2779 ","0.2630 ","0.2695 ","0.2382 "
"151","T30P5821L500","95.T3030.Z0D018Z","T05TM82328-163D0HH01","0","16.20 ","22.30 ",66,16,"0.3068 ","0.2983 ","0.2955 ","0.2704 "
"152","T40P58305F00","95.T4012.A0B001Z","T05TM83501-053CQI302","0","105.00 ","0.49 ",66.33,9,"0.3243 ","0.3000 ","0.2966 ","0.2779 "
"153","T40P5820ZY00","95.T4012.A0B000Z","T05TM82521-054CQGN01","0","81.50 ","0.27 ",70,46,"0.3271 ","0.3018 ","0.3034 ","0.2795 "
"154","T70P58222N00","95.T7020.Z0C11CZ","T05TM82721-015D6GX01","0","16.55 ","14.90 ",119,19,"0.3289 ","0.3151 ","0.3241 ","0.3143 "
"155","S04P5830WU00","95.S3004.W0A01DZ","T05TM83006-0W3B1LG01","0","16.90 ","0.00 ",23.17,4,"0.2870 ","0.2511 ","0.2846 ","0.2614 "
"156","T70P5822R100","95.T7020.Z0C115Z","T05TM82719-016AYGX01","0","9.60 ","12.00 ",116.33,30,"0.2982 ","0.2710 ","0.2917 ","0.2639 "
"157","T40P58309600","95.T4014.W0A101Z","T05TM82526-024BJB501","0","7.73 ","0.00 ",98.33,19,"0.2821 ","0.2696 ","0.2863 ","0.2641 "
"158","380P5833CQ00","95.S3806.W0A0AZZ","T05TM83621-0W3B1LG01","0","33.25 ","0.00 ",37.17,10,"0.2976 ","0.3016 ","0.2864 ","0.2647 "
