"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"16705","C40P58405E00","95.T4014.W0A100Z","T05TM84008-133CAB801","0","16.15 ","0.00 ",110,6,"0.2901 ","0.2390 ","0.2841 ","0.2638 "
"16706","380P5844V400","95.S3806.W0A0B0Z","T05TM84616-0W3BECZ02","2","32.10 ","0.00 ",51.67,7,"0.2978 ","0.3010 ","0.2861 ","0.2621 "
"16707","T40P58418P00","95.T4012.A0B000Z","T05TM84516-053CQGN02","0","54.10 ","0.38 ",55.17,4,"0.2985 ","0.2809 ","0.2817 ","0.2620 "
"16708","380P58422600","95.S3806.W0A0AZZ","T05TM84605-0W3B1LG02","0","31.50 ","0.00 ",32.33,14,"0.2945 ","0.2963 ","0.2846 ","0.2604 "
"16709","T40P5840UY00","95.T4014.W0B102Z","T05TM84003-023BJFU01","0","8.70 ","0.00 ",111.83,6,"0.2842 ","0.2668 ","0.2906 ","0.2668 "
"16710","401P58400J00","95.T4012.A0B005Z","T05TQ84Q01-053D1M501","0","57.20 ","0.30 ",66,9,"0.3128 ","0.2864 ","0.2955 ","0.2734 "
"16711","S06P58417A00","95.S3806.W0A1AXZ","T05TM84622-013B1JC01","0","22.35 ","0.00 ",45.33,12,"0.2748 ","0.2505 ","0.2823 ","0.2496 "
"16712","380P5842C900","95.S3806.W0A0C8Z","T05TM84609-0W3C7H301","0","31.00 ","0.00 ",43.83,14,"0.2968 ","0.2981 ","0.2884 ","0.2660 "
"16713","T30P58407X00","95.T3030.Z0D018Z","T05TM84309-163D0HH01","0","15.70 ","25.00 ",76.5,28,"0.3073 ","0.3033 ","0.2963 ","0.2751 "
"16714","T40P5841AP00","95.T4012.A0B000Z","T05TM84515-052CQGN01","0","51.29 ","0.40 ",60.83,6,"0.3018 ","0.2885 ","0.2826 ","0.2663 "
"16715","C40P58505J00","95.T4014.W0B1B2Z","T05TM85503-144CQGN01","0","12.50 ","0.00 ",62.17,13,"0.3077 ","0.2948 ","0.2906 ","0.2702 "
"16716","S04P58502Y00","95.S3004.W0A100Z","T05TM85X01-0W3C7JC01","0","16.35 ","0.00 ",23.5,5,"0.2972 ","0.2549 ","0.2956 ","0.2710 "
"16717","S06P5850XM00","95.S3806.W0A0E9Z","T05TM85605-052C7JC01","0","19.40 ","0.00 ",42.5,9,"0.2850 ","0.2795 ","0.2760 ","0.2436 "
"16718","T70P58512D00","95.T7020.Z0C11CZ","T05TM85715-015D6GX01","0","10.80 ","14.50 ",120,25,"0.2973 ","0.2646 ","0.2896 ","0.2613 "
"16719","C40P58507G00","95.T4014.Z0B118Z","T05TM85501-133AYH601","0","21.80 ","20.00 ",108,12,"0.3018 ","0.2410 ","0.2919 ","0.2591 "
"16720","380P5844ZY00","95.S3806.W0A0EHZ","T05TM84618-0W3B1LG03","0","32.33 ","0.00 ",41.67,26,"0.2990 ","0.3041 ","0.2860 ","0.2623 "
"16721","S06P58501900","95.S3806.W0A0EBZ","T05TM85602-053B1LG01","0","19.40 ","0.00 ",51.33,35,"0.3135 ","0.3216 ","0.2956 ","0.2730 "
"16722","S06P58426D00","95.S3806.W0A0D6Z","T05TM85G02-0W2C7JC01","0","22.75 ","0.00 ",40.67,22,"0.2997 ","0.3093 ","0.2875 ","0.2670 "
"16723","C40P5850DG00","95.T4014.Z0B118Z","T05TM85524-133AYGX02","0","18.40 ","20.50 ",96.67,37,"0.2846 ","0.2172 ","0.2762 ","0.2374 "
"16724","T40P5851XJ00","95.T4012.A0B000Z","T05TM85510-052CQGN01","0","53.30 ","0.41 ",92,28,"0.3024 ","0.2966 ","0.2858 ","0.2724 "
"16725","380P58613E00","95.S3806.W0A0AZZ","T05TM86607-0W2B1H302","0","29.75 ","0.00 ",42.33,6,"0.2978 ","0.2964 ","0.2854 ","0.2579 "
"16726","T30P5860BZ00","95.T3005.C00","T05TM86005-024CEAD01","0","19.05 ","0.00 ",79.5,19,"0.2932 ","0.2719 ","0.2877 ","0.2620 "
"16727","380P5861JP00","95.S3806.W0A0B6Z","T05TM86616-043BEAF01","0","44.50 ","0.00 ",29.83,21,"0.3051 ","0.3229 ","0.2916 ","0.2803 "
"16728","T30P58605R00","95.T3030.Z0D11BZ","T05TM86907-014D0HI01","0","27.50 ","45.70 ",70.67,17,"0.3317 ","0.3329 ","0.3340 ","0.3388 "
"16729","T30P5861BN01","95.T3030.Z0D014Z","T05TM86329-161CXHI01","0","14.15 ","72.00 ",61.67,24,"0.2781 ","0.2575 ","0.2694 ","0.2302 "
"16730","T30P5860JX00","95.T3030.A0D10AZ","T05TM85337-162CZHH04","0","64.50 ","0.38 ",99.67,27,"0.3221 ","0.3254 ","0.3011 ","0.3010 "
"16731","T30P58522V00","95.T3030.Z0D019Z","T05TM86313-163CMJM01","0","11.80 ","18.00 ",45.67,2,"0.2778 ","0.2525 ","0.2614 ","0.2128 "
"16732","T30P5861DF00","95.T3030.A0D10CZ","T05TM86301-161BRLW03","0","19.45 ","5.65 ",73.83,24,"0.3287 ","0.4116 ","0.2808 ","0.2630 "
"16733","C40P58700800","95.T4014.Z0B118Z","T05TM86515-134AYGX01","0","15.90 ","14.50 ",81,64,"0.2845 ","0.2150 ","NULL","NULL"
