"","PRODUCT_NO","MONO","CHIP_CODE","CHIP_PRODUCT_NO","LEADFRAME_NO","WDD"
"47","95.S3806.W0A0C8Z","T05TM84610-0W4C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"48","95.S3806.W0A0C8Z","T05TM85611-0W4C7JC01","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"49","95.S3806.W0A0C8Z","T05TM87612-0W4C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"50","95.S3806.W0A0C8Z","T05TM87609-0W1C7LG01","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"51","95.S3806.W0A0C8Z","T05TM87609-0W1C7JC02","CB09ZB5","40.09455.2C3","44.P6006.K0A","447.5-445"
"52","95.S3806.W0A0C8Z","T05TM87611-0W3C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"53","95.S3806.W0A0C8Z","T05TM87611-0W3C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","452.5-450"
"54","95.S3806.W0A0C8Z","T05TM87612-0W4C7H303","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"55","95.S3806.W0A0C8Z","T05TM87612-0W4C7JC04","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
"56","95.S3806.W0A0C8Z","T05TM87610-0W2C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"57","95.S3806.W0A0C8Z","T05TM87610-0W2C7H302","CB09ZB5","40.09455.2C3","44.P6006.K0A","450-447.5"
"58","95.S3806.W0A0C8Z","T05TM87612-0W4C7H301","CB09ZB5","40.09455.2C3","44.P6006.K0A","455-452.5"
